env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;ALT;LAT;LON;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E011;19.279;20.717;17.317;630;147;2;92.342;272;9;250;12;11.642;71.421;135.1;27.9;11.6;16.3;20.25;17.667;1593;-1.54;37.23;32.27208333;20.58958333;1.560416667;66.32833333;21.49541667;13.74333333;31.61041667;13.26916667;1.679583333;1.299999952;1.299999952;1.299999952;1.299999952;6;7;10;7;39;44;36;1.700000048;1.200000048;1;1.399999976;2.700000048;1.600000024;1.200000048;2.299999952;6.699999809;6.699999809;6.599999905;6.699999809;48;45;42;48;2.599999905;30.29999924;209.3999939;17;15;14;16;21.29999924;11.60000038;8.399999619;16.5;217;210;209;216;216;235
E012;27.171;30.917;24.1;877;258;0;127.144;640;0;48;3;13.358;55.893;280.19;39.2;15.3;23.9;26.183;24.317;345;13.1;-9.497;33.87708333;20.72;3.60125;52.7475;27.18;12.97708333;36.705;18.33541667;2.025;1.5;1.5;1.600000024;1.600000024;25;27;35;25;23;27;15;1;0.699999988;0.600000024;0.800000012;1.600000024;0.899999976;0.600000024;1.5;6.199999809;5.599999905;5.5;6.099999905;52;44;41;50;4.400000095;33.90000153;241.3999939;35;33;31;36;11.19999981;6.5;4.199999809;8.899999619;279;289;315;286;292;335
E013;27.192;30.65;24.667;863;242;1;117.717;595;3;99;5;12.95;56.798;248.091;38.2;15.4;22.8;25.983;24.683;398;12.353;-5.501;34.00875;20.95083333;2.849166667;53.63541667;26.86291667;13.89875;36.83625;17.76291667;2.192083333;1.600000024;1.600000024;1.600000024;1.600000024;7;9;18;6;17;30;9;0.699999988;0.300000012;0.300000012;0.400000006;1.700000048;1.100000024;0.699999988;1.5;5.699999809;5.699999809;5.800000191;5.699999809;55;47;38;54;4;33.70000076;230.8999939;37;36;32;37;8.600000381;4.300000191;3.599999905;4.900000095;282;287;316;298;297;335
E014;19.225;20.65;17.267;620;142;2;90.971;270;11;244;13;11.817;71.616;134.663;28;11.5;16.5;20.167;17.617;1613;-1.54;37.205;32.27208333;20.58958333;1.560416667;66.32833333;21.49541667;13.74333333;31.61041667;13.26916667;1.679583333;1.299999952;1.299999952;1.299999952;1.299999952;6;8;12;7;39;45;37;1.700000048;1.200000048;1;1.399999976;2.799999952;1.700000048;1.100000024;2.400000095;6.599999905;6.599999905;6.5;6.599999905;47;45;41;47;3;34.09999847;204.1999969;17;15;14;16;20.20000076;11.89999962;8.5;15.39999962;218;207;206;217;216;234
E015;23.146;25.7;19.917;949;264;0;127.969;686;1;230;2;11.008;57.635;232.031;32.2;13.1;19.1;24.367;21.233;609;-13.667;34.25;33.28833333;21.10375;2.160833333;58.21291667;26.37208333;16.74541667;32.84875;19.62041667;3.713333333;1.5;1.600000024;1.600000024;1.5;2;3;4;2;32;44;23;1.299999952;0.899999976;0.699999988;1.100000024;1.899999976;1.399999976;0.800000012;1.600000024;6.199999809;6.099999905;6.099999905;6.199999809;68;59;49;67;0.699999988;6.099999905;368.6000061;10;9;7;10;15.10000038;8.199999809;7.099999905;13.19999981;245;299;303;260;243;248
E016;20.038;22.733;16.417;916;232;0;115.582;618;3;283;3;12.692;59.031;255.7;29.8;8.3;21.5;21.683;16.417;1141;-13.983;33.633;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;1;2;3;1;24;31;20;1.299999952;1;0.699999988;1.200000048;2.200000048;1.600000024;1;1.899999976;6;5.900000095;6;5.900000095;70;66;60;70;2.900000095;17.60000038;361.3999939;10;9;9;10;15.69999981;12.30000019;7.699999809;14.60000038;221;256;269;234;220;224
E017;24.542;26.433;22.3;1125;286;1;107.186;646;4;249;8;9.267;61.778;160.494;31.8;16.8;15;25.1;22.95;491;-9.926;33.909;31.07458333;19.98458333;3.44;68.08416667;22.96375;15.96708333;30.36416667;16.58083333;2.54625;1.299999952;1.299999952;1.399999976;1.299999952;1;1;2;1;24;29;21;1.100000024;0.699999988;0.600000024;0.899999976;1.899999976;1.200000048;1;1.399999976;6;6;6;6;71;68;62;70;2.599999905;17.29999924;400;9;9;9;9;12;6.800000191;6.400000095;9.300000191;257;313;316;275;253;257
E018;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;-10.933;33.683;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E018;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;-10.933;33.683;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E018;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;-10.933;33.683;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E018;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;-10.933;33.683;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E019;20.546;23.167;17.15;889;220;0;120.656;612;2;249;2;11.725;57.475;241.261;30;9.6;20.4;22;17.15;1095;-12.95;33.683;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;17;20;14;1.100000024;0.800000012;0.5;1.100000024;1.799999952;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.5;6.300000191;79;76;74;79;1.5;11.39999962;361.5;7;7;7;7;15.30000019;7.400000095;5.900000095;13.10000038;221;272;270;238;209;228
E020;21.042;23.767;17.517;846;207;0;121.264;594;2;250;2;12.383;57.866;250.425;30.8;9.4;21.4;22.55;17.517;1030;-12.933;33.467;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;18;21;13;1.299999952;0.899999976;0.600000024;1.100000024;1.899999976;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;2;14;353.5;7;6;6;7;16.70000076;7.800000191;5.900000095;13.19999981;226;269;281;245;223;231
E021;20.396;22.983;17;838;224;0;122.886;595;2;235;3;12.175;58.534;239.834;29.8;9;20.8;21.883;18.467;1111;-13.417;33.617;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;2;3;6;2;16;21;13;1.399999976;0.800000012;0.699999988;1.200000048;2.099999905;1.299999952;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;78;77;72;79;2.5;16.70000076;374.5;7;7;7;7;18;9.699999809;8.800000191;16.70000076;220;276;272;237;211;220
E022;21.154;24;17.983;987;240;0;118.472;677;0;99;5;12.625;57.386;242.379;31.8;9.8;22;21.967;18;1112;-13.672;32.659;32.1625;21.12083333;1.985416667;59.97541667;23.04916667;13.28291667;33.13583333;14.17708333;2.8575;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;24;28;18;1.200000048;0.699999988;0.400000006;0.899999976;2.099999905;1.299999952;0.699999988;1.799999952;6.099999905;6.099999905;6.199999809;6.099999905;68;61;58;66;2.900000095;18.39999962;374.2000122;16;15;14;16;19;7.099999905;5.599999905;14.69999981;225;267;286;245;216;230
E023;20.404;23.017;17;831;222;0;123.19;592;1;236;3;12.192;58.333;240.751;29.9;9;20.9;21.9;18.467;1113;-13.419;33.615;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;1;3;5;1;16;21;13;1.399999976;0.899999976;0.600000024;1.299999952;2.099999905;1.200000048;0.800000012;1.700000048;6.300000191;6.300000191;6.400000095;6.300000191;78;77;72;79;2.400000095;15.89999962;371.7000122;7;7;7;7;18.10000038;9.100000381;8.399999619;16.5;221;273;271;237;210;221
E024;20.404;23.017;17;831;222;0;123.19;592;1;236;3;12.192;58.333;240.751;29.9;9;20.9;21.9;18.467;1113;-13.419;33.615;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;1;3;5;1;16;21;13;1.399999976;0.899999976;0.600000024;1.299999952;2.099999905;1.200000048;0.800000012;1.700000048;6.300000191;6.300000191;6.400000095;6.300000191;78;77;72;79;2.400000095;15.89999962;371.7000122;7;7;7;7;18.10000038;9.100000381;8.399999619;16.5;221;273;271;237;210;221
E025;23.737;26.4;20.4;941;251;5;119.36;665;19;256;22;11.508;58.123;240.946;33.2;13.4;19.8;25.067;20.583;508;-14.264;34.57;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.5;1.399999976;3;6;6;4;23;26;19;1.200000048;0.800000012;0.699999988;1;1.899999976;1.100000024;0.600000024;1.5;6.199999809;6.099999905;6.199999809;6.099999905;74;69;67;74;1.899999976;14;363;7;7;7;7;13;8.5;5.400000095;11.5;256;290;309;268;253;258
E026;22.3;24.133;21.15;1881;319;7;75.311;910;33;266;910;10.317;57.315;143.622;31.2;13.2;18;21.15;22.467;1125;5.8;10.933;31.475;18.31583333;8.001666667;77.97291667;20.61458333;16.13625;27.05833333;14.82458333;1.330416667;1.100000024;1.200000048;1.200000048;1.200000048;10;13;19;12;44;46;42;1.899999976;1.600000024;1.5;2;4;2.799999952;2.099999905;3.599999905;5.400000095;5.400000095;5.5;5.400000095;17;17;17;18;1.700000048;17.70000076;287.3999939;41;39;38;41;33.79999924;17.79999924;11;26;248;197;238;225;249;240
E027;23.396;24.35;22.433;1595;289;20;64.552;641;91;357;431;8.125;78.125;75.542;29.3;18.9;10.4;23.017;23.9;721;3.767;11.8;34.285;15.93458333;4.241666667;83.18041667;23.71625;20.20041667;30.36666667;18.27541667;0.443333333;1.200000048;1.299999952;1.299999952;1.200000048;13;18;22;16;47;61;46;3.200000048;1;0.899999976;1.899999976;4.5;1.5;1;2.200000048;5;5;5.099999905;5;47;42;31;43;-0.800000012;-23.10000038;132.3000031;13;11;8;11;45;11.19999981;8.5;21.10000038;225;209;220;217;219;226
E028;23.608;24.733;22.517;1628;297;20;65.419;666;87;363;450;8.267;75.152;88.004;29.9;18.9;11;22.783;24.267;709;3.85;11.45;34.285;15.93458333;3.964166667;84.65583333;23.90666667;20.82291667;30.12833333;18.9225;1.066666667;1.200000048;1.200000048;1.299999952;1.200000048;12;15;18;13;44;49;38;3;1.299999952;1;2.099999905;4.199999809;1.700000048;1;2.5;5.400000095;5.300000191;5.400000095;5.400000095;51;44;39;48;-0.5;-13;117.1999969;14;12;11;14;37.70000076;14.10000038;6.599999905;23.60000038;232;207;228;227;224;229
E029;24.542;26.433;22.3;1125;286;1;107.186;646;4;249;8;9.267;61.778;160.494;31.8;16.8;15;25.1;22.95;491;-9.926;33.909;31.07458333;19.98458333;3.44;68.08416667;22.96375;15.96708333;30.36416667;16.58083333;2.54625;1.299999952;1.299999952;1.399999976;1.299999952;1;1;2;1;24;29;21;1.100000024;0.699999988;0.600000024;0.899999976;1.899999976;1.200000048;1;1.399999976;6;6;6;6;71;68;62;70;2.599999905;17.29999924;400;9;9;9;9;12;6.800000191;6.400000095;9.300000191;257;313;316;275;253;257
E030;19.958;22.617;16.35;925;240;0;117.164;632;2;283;2;12.817;58.524;254.03;30;8.1;21.9;21.583;16.35;1176;-13.973;33.517;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;20;22;17;1.299999952;0.899999976;0.699999988;1.100000024;2.099999905;1.5;0.699999988;1.799999952;6;6;6;6;75;71;69;74;2.700000048;17.39999962;360.8999939;9;9;9;9;16.29999924;10.60000038;6.800000191;14.30000019;219;252;265;235;218;224
E031;23.05;25.6;19.833;945;264;0;128.278;685;1;231;2;11.017;57.679;231.301;32.1;13;19.1;24.267;21.15;625;-13.69;34.25;33.28833333;21.10375;2.160833333;58.21291667;26.37208333;16.74541667;32.84875;19.62041667;3.713333333;1.5;1.5;1.5;1.5;4;4;6;3;37;47;28;1.299999952;1;0.800000012;1.100000024;2;1.399999976;1;1.700000048;6.199999809;6.199999809;6.199999809;6.199999809;62;54;45;61;0.800000012;6.699999809;370;11;9;8;11;16.60000038;8.800000191;8.100000381;14.69999981;246;297;302;259;244;247
E032;19.313;21.5;15.917;1193;248;10;95.092;695;44;363;54;10.625;58.702;237.287;27.9;9.8;18.1;21.133;17.233;1173;-15.922;35.073;32.48;20.54208333;3.461666667;63.77541667;24.23125;15.45083333;34.76791667;15.25333333;2.105833333;1.299999952;1.299999952;1.299999952;1.299999952;3;4;6;2;41;49;33;1.299999952;0.800000012;0.600000024;1;2.400000095;1.5;0.800000012;1.799999952;5.400000095;5.300000191;5.300000191;5.400000095;52;45;39;51;3;18.70000076;371.2999878;16;14;12;16;16.5;9.399999619;5.699999809;12.80000019;213;220;241;221;201;198
E033;22.058;25.033;18.783;960;238;0;119.486;664;0;94;5;12.7;56.951;249.744;32.8;10.5;22.3;22.8;18.85;957;-13.637;32.488;32.1625;21.12083333;1.985416667;59.97541667;23.04916667;13.28291667;33.13583333;14.17708333;2.8575;1.399999976;1.5;1.5;1.399999976;5;5;6;5;26;33;23;1.299999952;0.699999988;0.600000024;1.100000024;2.200000048;1.5;0.800000012;2;6.300000191;6.300000191;6.300000191;6.300000191;60;55;50;58;2.799999952;18.39999962;368;19;18;17;19;18.5;8.899999619;5.800000191;14.10000038;234;276;293;250;230;237
E034;20.188;22.817;16.583;936;239;0;114.256;633;3;284;3;12.508;58.725;252.651;30;8.7;21.3;21.783;16.583;1117;-14.217;33.7;30.78666667;20.59041667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;1;3;4;2;23;26;18;1.299999952;0.800000012;0.600000024;1.100000024;2.200000048;1.5;0.800000012;2;5.900000095;5.800000191;5.900000095;5.900000095;74;70;66;74;2.700000048;16.29999924;379.6000061;8;8;8;8;14.69999981;10.5;7.199999809;13.5;222;251;269;234;221;227
E035;20.404;23.017;17;831;222;0;123.19;592;1;236;3;12.192;58.333;240.751;29.9;9;20.9;21.9;18.467;1113;-13.419;33.614;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;1;3;5;1;16;21;13;1.399999976;0.899999976;0.600000024;1.299999952;2.099999905;1.200000048;0.800000012;1.700000048;6.300000191;6.300000191;6.400000095;6.300000191;78;77;72;79;2.400000095;15.89999962;371.7000122;7;7;7;7;18.10000038;9.100000381;8.399999619;16.5;221;273;271;237;210;221
E036;21.075;23.8;17.567;845;208;0;121.435;595;2;249;2;12.367;57.519;249.95;30.9;9.4;21.5;22.567;17.567;1023;-12.942;33.466;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.399999976;1.5;1.399999976;1.5;1;2;4;1;17;21;13;1.299999952;0.899999976;0.600000024;1.200000048;1.899999976;1.299999952;0.699999988;1.600000024;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;1.899999976;13.39999962;354.2000122;7;7;7;7;16.5;8.800000191;6;13.69999981;226;269;281;245;222;231
E037;20.121;23.017;16.3;971;235;3;117.507;665;10;280;10;11.508;55.596;271.732;30.3;9.6;20.7;21.783;16.3;1204;-14.748;34.366;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.399999976;1.399999976;2;4;5;2;25;28;19;1.200000048;0.800000012;0.600000024;1.100000024;2;1.200000048;0.800000012;1.799999952;6.199999809;6.199999809;6.099999905;6.199999809;69;65;62;70;2.799999952;16.89999962;382.8999939;11;10;10;11;15.39999962;8.5;6.099999905;12.30000019;217;232;258;226;215;217
