env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E059;27.21;29.20;25.22;1044.00;167.00;5.00;74.51;486.00;19.00;172.00;486.00;10.88;68.83;155.23;36.40;20.60;15.80;25.22;27.62
E060;27.11;28.82;25.25;1014.00;144.00;7.00;64.46;410.00;34.00;216.00;386.00;9.87;70.48;142.06;35.40;21.40;14.00;26.30;27.67
E061;27.08;28.95;25.12;1025.00;167.00;6.00;74.27;471.00;20.00;171.00;471.00;10.52;69.65;150.67;35.90;20.80;15.10;25.12;27.55
E062;16.43;17.63;15.42;1549.00;222.00;27.00;62.17;655.00;89.00;403.00;641.00;14.35;79.28;89.53;25.60;7.50;18.10;15.58;16.55
E063;23.54;25.90;22.28;1534.00;400.00;2.00;115.03;1013.00;7.00;169.00;1010.00;15.30;68.00;154.86;35.20;12.70;22.50;22.72;22.93
E064;28.11;30.73;26.10;1092.00;217.00;2.00;84.73;569.00;14.00;135.00;569.00;11.58;60.92;184.53;38.00;19.00;19.00;26.10;28.20
E065;27.40;29.97;25.43;986.00;210.00;1.00;91.04;561.00;12.00;101.00;561.00;11.74;61.48;182.59;37.30;18.20;19.10;25.43;27.38
E066;26.51;28.07;25.23;1263.00;184.00;5.00;62.83;493.00;52.00;260.00;415.00;9.77;68.78;112.17;34.30;20.10;14.20;26.10;26.92
E067;26.45;27.78;25.02;1349.00;201.00;14.00;53.85;513.00;101.00;330.00;368.00;9.01;75.70;107.01;33.10;21.20;11.90;26.90;26.95
E068;21.72;22.60;20.90;1624.00;246.00;56.00;42.70;626.00;215.00;273.00;370.00;12.28;83.50;66.86;29.60;14.90;14.70;22.13;22.32
E069;23.23;24.83;21.15;590.00;164.00;1.00;112.24;318.00;5.00;214.00;5.00;11.10;69.38;146.87;31.50;15.50;16.00;23.82;21.15
E070;18.30;19.67;16.48;1164.00;276.00;30.00;80.77;582.00;92.00;425.00;108.00;11.68;72.97;126.18;27.10;11.10;16.00;19.32;16.70
E071;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E072;26.81;30.37;24.52;927.00;248.00;0.00;117.49;641.00;0.00;108.00;1.00;13.41;57.55;239.75;38.00;14.70;23.30;25.42;25.00
E073;27.31;31.05;24.33;864.00;254.00;0.00;127.46;633.00;0.00;46.00;3.00;13.16;55.99;277.22;39.20;15.70;23.50;26.25;24.53
E074;27.45;30.95;24.53;837.00;245.00;0.00;120.01;585.00;1.00;94.00;3.00;13.77;55.96;262.96;39.00;14.40;24.60;26.50;24.58
E075;23.74;26.40;20.40;941.00;251.00;5.00;119.36;665.00;19.00;256.00;22.00;11.51;58.12;240.95;33.20;13.40;19.80;25.07;20.58
E076;22.62;25.37;18.98;1062.00;244.00;15.00;92.27;632.00;57.00;282.00;88.00;11.18;56.73;261.67;32.00;12.30;19.70;24.47;19.23
E077;21.15;24.00;17.98;987.00;240.00;0.00;118.47;677.00;0.00;99.00;5.00;12.63;57.39;242.38;31.80;9.80;22.00;21.97;18.00
E078;20.85;23.48;17.35;786.00;210.00;0.00;125.15;577.00;2.00;235.00;4.00;12.51;58.18;247.28;30.70;9.20;21.50;22.32;18.90
E079;19.96;22.53;16.33;858.00;214.00;0.00;118.94;591.00;1.00;255.00;1.00;11.97;57.26;250.42;29.60;8.70;20.90;21.53;16.33
E080;26.34;28.20;24.57;1269.00;193.00;6.00;65.60;502.00;44.00;241.00;460.00;9.12;67.03;140.86;34.20;20.60;13.60;25.65;27.12
E081;24.86;28.25;22.73;977.00;280.00;0.00;118.67;670.00;1.00;139.00;1.00;12.78;59.70;225.75;35.20;13.80;21.40;23.73;22.73
